id,score_date,max_seats,agent_utilization,is_provisioned_any_channel_M_before,max_seats_M_before,agent_utilization_increase,agent_utilization_decrease,seat_utilization,seat_utilization_M_before,seat_utilization_increase,seat_utilization_decrease
JMAN_9031450,2023-02-03,5.0,0.0,5.0,5.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2483334,2023-03-10,11.0,0.181818182,10.0,10.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2475019,2023-01-20,9.0,0.111111111,8.0,9.0,0.0,1.0,1.0,0.888888889,1.0,0.0
JMAN_9471063,2023-03-24,3.0,0.0,2.0,3.0,0.0,1.0,0.666666667,0.666666667,0.0,0.0
JMAN_2478834,2023-01-20,7.0,0.0,6.0,7.0,0.0,1.0,0.857142857,0.857142857,0.0,0.0
JMAN_16385554,2023-01-13,10.0,0.0,8.789672861828274,10.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9005021,2023-02-03,3.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2476115,2023-02-17,5.0,0.2,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9051235,2023-02-17,6.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9391855,2023-02-10,8.0,0.125,8.0,8.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9018166,2023-01-13,7.0,0.0,7.0,7.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9897409,2023-03-31,8.0,0.333333333,6.0,8.0,0.0,0.0,0.75,0.75,0.0,0.0
JMAN_18410412,2023-02-24,2.0,0.0,8.789672861828274,2.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_2461712,2023-03-10,21.0,0.25,20.0,21.0,0.0,1.0,0.952380952,0.952380952,0.0,0.0
JMAN_2472640,2023-03-24,14.0,0.153846154,14.0,14.0,0.0,1.0,0.928571429,1.0,0.0,1.0
JMAN_2469134,2023-01-27,15.0,0.125,8.0,10.0,0.0,0.0,0.533333333,0.8,0.0,1.0
JMAN_2464850,2023-02-10,1.0,0.0,6.0,6.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_2442325,2023-01-13,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_9008468,2023-01-20,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
JMAN_109835,2023-01-13,28.0,0.222222222,27.0,28.0,0.0,1.0,0.964285714,0.964285714,0.0,0.0
JMAN_9075221,2023-01-27,80.0,0.051948052,77.0,80.0,1.0,0.0,0.9625,0.9625,0.0,0.0
JMAN_18410830,2023-01-13,5.0,0.0,8.789672861828274,5.0,0.0,0.0,0.0,0.0,0.0,0.0
JMAN_9022859,2023-01-20,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9031253,2023-03-31,5.0,0.0,5.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9003316,2023-03-24,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_2468132,2023-02-24,2.0,0.0,6.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0
JMAN_9036732,2023-02-24,19.0,0.263157895,19.0,19.0,0.0,1.0,1.0,1.0,0.0,0.0
